아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
동원스위트광희(주상복합),32A㎡,서울시 중구 광희동2가 47-2,서울시 중구 퇴계로 329-5,16.0,0.0,,,,,
동원스위트광희(주상복합),33B㎡,서울시 중구 광희동2가 47-2,서울시 중구 퇴계로 329-5,16.0,0.0,,,,,
동원스위트광희(주상복합),34A㎡,서울시 중구 광희동2가 47-2,서울시 중구 퇴계로 329-5,16.0,0.0,,,,,
동원스위트광희(주상복합),35B,서울시 중구 광희동2가 47-2,서울시 중구 퇴계로 329-5,16.0,0.0,,,,,
남산트라팰리스(주상복합),149㎡,서울시 중구 남대문로5가 827,서울시 중구 소월로2길 30,136.0,0.0,183000.0,20억~22억,,,
남산트라팰리스(주상복합),162㎡,서울시 중구 남대문로5가 827,서울시 중구 소월로2길 30,136.0,0.0,185000.0,22억,15억,9억/160,9억/160
남산트라팰리스(주상복합),182㎡,서울시 중구 남대문로5가 827,서울시 중구 소월로2길 30,136.0,0.0,198000.0,,,,
남산트라팰리스(주상복합),190㎡,서울시 중구 남대문로5가 827,서울시 중구 소월로2길 30,136.0,0.0,205000.0,22억~25억,,,
남산트라팰리스(주상복합),245㎡,서울시 중구 남대문로5가 827,서울시 중구 소월로2길 30,136.0,0.0,,,,,
남산트라팰리스(주상복합),265,서울시 중구 남대문로5가 827,서울시 중구 소월로2길 30,136.0,0.0,,,,,
남산퍼시픽,57㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,65㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,72㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,87A㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,87B㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,93㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,94㎡,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
남산퍼시픽,125,서울시 중구 남산동2가 42,서울시 중구 퇴계로20나길 12,14.0,0.0,,,,,
경서,29㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,35A㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,36B㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,37C㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,50㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,55A㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,56B㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,60㎡,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
경서,87,서울시 중구 남창동 205-44,서울시 중구 퇴계로2길 15-6,45.0,0.0,,,,,
LIG서울역리가,110B㎡,서울시 중구 만리동1가 231,서울시 중구 만리재로33길 21,181.0,0.0,150000.0,"15억 7,000~16억","6억 9,000~9억 5,000",,
LIG서울역리가,111D㎡,서울시 중구 만리동1가 231,서울시 중구 만리재로33길 21,181.0,0.0,150000.0,"15억 5,000~15억 7,000",,"5,000/300","5,000/300"
LIG서울역리가,111E㎡,서울시 중구 만리동1가 231,서울시 중구 만리재로33길 21,181.0,0.0,150000.0,,7억,,
LIG서울역리가,112A㎡,서울시 중구 만리동1가 231,서울시 중구 만리재로33길 21,181.0,0.0,150000.0,"15억 5,000~17억","7억 2,000~8억","3억/160~5억 5,000/100","3억/160~5억 5,000/100"
LIG서울역리가,112C,서울시 중구 만리동1가 231,서울시 중구 만리재로33길 21,181.0,0.0,155000.0,,,,
SY파크힐,94㎡,서울시 중구 만리동1가 56-11,서울시 중구 만리재로37길 49,13.0,0.0,150000.0,,,,
SY파크힐,109A㎡,서울시 중구 만리동1가 56-11,서울시 중구 만리재로37길 49,13.0,0.0,150000.0,,,,
SY파크힐,109B㎡,서울시 중구 만리동1가 56-11,서울시 중구 만리재로37길 49,13.0,0.0,150000.0,,,,
SY파크힐,170,서울시 중구 만리동1가 56-11,서울시 중구 만리재로37길 49,13.0,0.0,150000.0,,,,
서울역디오빌(주상복합),70㎡,서울시 중구 만리동1가 62-7,서울시 중구 만리재로 193,72.0,0.0,150000.0,"8억 6,000","4억 5,000~4억 7,000","3억 5,000/40","3억 5,000/40"
서울역디오빌(주상복합),92,서울시 중구 만리동1가 62-7,서울시 중구 만리재로 193,72.0,0.0,150000.0,"11억~13억 5,000","5억 5,000~8억 5,000","1억 5,000/165~3억/140","1억 5,000/165~3억/140"
코엑스파크서울역(도시형),36A㎡,서울시 중구 만리동1가 54-4,서울시 중구 만리재로37길 20-5,35.0,0.0,150000.0,,,,
코엑스파크서울역(도시형),36D㎡,서울시 중구 만리동1가 54-4,서울시 중구 만리재로37길 20-5,35.0,0.0,150000.0,,,,
코엑스파크서울역(도시형),36C㎡,서울시 중구 만리동1가 54-4,서울시 중구 만리재로37길 20-5,35.0,0.0,150000.0,,,,
