아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
EG솔리더(도시형),22A㎡,서울시 중랑구 망우동 506-8,서울시 중랑구 상봉로 110,103.0,0.0,9200.0,"9,800",,,
EG솔리더(도시형),23B㎡,서울시 중랑구 망우동 506-8,서울시 중랑구 상봉로 110,103.0,0.0,9200.0,"9,500",,"1,000/50","1,000/50"
EG솔리더(도시형),23C㎡,서울시 중랑구 망우동 506-8,서울시 중랑구 상봉로 110,103.0,0.0,9200.0,"9,500~1억 1,000",,,
EG솔리더(도시형),30D,서울시 중랑구 망우동 506-8,서울시 중랑구 상봉로 110,103.0,0.0,,,,,
가야써니빌,82㎡,서울시 중랑구 망우동 576,서울시 중랑구 상봉로26길 29,66.0,0.0,9200.0,,,,
가야써니빌,102㎡,서울시 중랑구 망우동 576,서울시 중랑구 상봉로26길 29,66.0,0.0,9200.0,"6억 2,000~6억 8,000",,,
가야써니빌,115,서울시 중랑구 망우동 576,서울시 중랑구 상봉로26길 29,66.0,0.0,9200.0,"6억 8,000",,2억/90,2억/90
개나리,51,서울시 중랑구 망우동 213-3,서울시 중랑구 송림길 124,78.0,0.0,9200.0,"3억 6,000~3억 9,000","1억 6,000",,
건양스위트홈(도시형),34㎡,서울시 중랑구 망우동 420-39,서울시 중랑구 용마공원로 37-9,15.0,0.0,9200.0,,,,
건양스위트홈(도시형),47㎡,서울시 중랑구 망우동 420-39,서울시 중랑구 용마공원로 37-9,15.0,0.0,9200.0,,,,
건양스위트홈(도시형),49,서울시 중랑구 망우동 420-39,서울시 중랑구 용마공원로 37-9,15.0,0.0,9200.0,,,,
경남,64㎡,서울시 중랑구 망우동 226,서울시 중랑구 양원역로 37,250.0,0.0,9200.0,"5억 3,000~5억 4,000",,"4,000/75","4,000/75"
경남,71㎡,서울시 중랑구 망우동 226,서울시 중랑구 양원역로 37,250.0,0.0,9200.0,"5억 5,000~6억","2억 3,000~3억","5,000/70","5,000/70"
경남,96,서울시 중랑구 망우동 226,서울시 중랑구 양원역로 37,250.0,0.0,9200.0,,,,
금호,76㎡,서울시 중랑구 망우동 574,서울시 중랑구 망우로 504-10,73.0,0.0,9200.0,"4억 9,000~5억",,,
금호,107㎡,서울시 중랑구 망우동 574,서울시 중랑구 망우로 504-10,73.0,0.0,9200.0,,,,
금호,145,서울시 중랑구 망우동 574,서울시 중랑구 망우로 504-10,73.0,0.0,9200.0,,,,
다성,75A㎡,서울시 중랑구 망우동 508-27,서울시 중랑구 상봉로28길 29-5,8.0,0.0,9200.0,,,,
다성,76B,서울시 중랑구 망우동 508-27,서울시 중랑구 상봉로28길 29-5,8.0,0.0,9200.0,,,,
다온쉐르빌(주상복합),18A㎡,서울시 중랑구 망우동 490-22,서울시 중랑구 용마산로115길 58,24.0,0.0,9200.0,,"1억 4,000",,
다온쉐르빌(주상복합),18B㎡,서울시 중랑구 망우동 490-22,서울시 중랑구 용마산로115길 58,24.0,0.0,9200.0,,,,
다온쉐르빌(주상복합),19C㎡,서울시 중랑구 망우동 490-22,서울시 중랑구 용마산로115길 58,24.0,0.0,9200.0,,,,
다온쉐르빌(주상복합),19D㎡,서울시 중랑구 망우동 490-22,서울시 중랑구 용마산로115길 58,24.0,0.0,,,,,
다온쉐르빌(주상복합),20E㎡,서울시 중랑구 망우동 490-22,서울시 중랑구 용마산로115길 58,24.0,0.0,,,,,
다온쉐르빌(주상복합),21F,서울시 중랑구 망우동 490-22,서울시 중랑구 용마산로115길 58,24.0,0.0,,,,,
대보,55㎡,서울시 중랑구 망우동 236-7,서울시 중랑구 양원역로 49,80.0,0.0,9200.0,,"1억 5,000",,
대보,58B㎡,서울시 중랑구 망우동 236-7,서울시 중랑구 양원역로 49,80.0,0.0,9200.0,"3억 5,000~3억 7,000",,"5,000/60","5,000/60"
대보,58A,서울시 중랑구 망우동 236-7,서울시 중랑구 양원역로 49,80.0,0.0,9200.0,,"1억 6,000",,
더하이어(도시형),19,서울시 중랑구 망우동 508-6,서울시 중랑구 망우로58길 31,63.0,0.0,9200.0,1억 500,,,
드림하우스,31A㎡,서울시 중랑구 망우동 517-20,서울시 중랑구 봉우재로 192-1,12.0,0.0,9200.0,,,,
드림하우스,32B,서울시 중랑구 망우동 517-20,서울시 중랑구 봉우재로 192-1,12.0,0.0,9200.0,,,,
로얄팰리스(주상복합),67A㎡,서울시 중랑구 망우동 508-15,서울시 중랑구 망우로58길 41,36.0,0.0,9200.0,,"4억 2,000~4억 5,000",,
로얄팰리스(주상복합),73B㎡,서울시 중랑구 망우동 508-15,서울시 중랑구 망우로58길 41,36.0,0.0,9200.0,,,,
로얄팰리스(주상복합),75,서울시 중랑구 망우동 508-15,서울시 중랑구 망우로58길 41,36.0,0.0,9200.0,,,,
망우YMS캐슬(도시형),20㎡,서울시 중랑구 망우동 506-15,서울시 중랑구 상봉로26길 5,24.0,0.0,9200.0,,,,
망우YMS캐슬(도시형),22A㎡,서울시 중랑구 망우동 506-15,서울시 중랑구 상봉로26길 5,24.0,0.0,9200.0,,,,
망우YMS캐슬(도시형),23B㎡,서울시 중랑구 망우동 506-15,서울시 중랑구 상봉로26길 5,24.0,0.0,9200.0,,,,
망우YMS캐슬(도시형),24C㎡,서울시 중랑구 망우동 506-15,서울시 중랑구 상봉로26길 5,24.0,0.0,,,,,
망우YMS캐슬(도시형),27㎡,서울시 중랑구 망우동 506-15,서울시 중랑구 상봉로26길 5,24.0,0.0,,,,,
망우YMS캐슬(도시형),37,서울시 중랑구 망우동 506-15,서울시 중랑구 상봉로26길 5,24.0,0.0,,,,,
망우드림스페이스,22㎡,서울시 중랑구 망우동 403-10,서울시 중랑구 망우로68길 64,8.0,0.0,9200.0,,,,
망우드림스페이스,38B㎡,서울시 중랑구 망우동 403-10,서울시 중랑구 망우로68길 64,8.0,0.0,9200.0,,,,
망우드림스페이스,40C㎡,서울시 중랑구 망우동 403-10,서울시 중랑구 망우로68길 64,8.0,0.0,,,,,
망우드림스페이스,40A,서울시 중랑구 망우동 403-10,서울시 중랑구 망우로68길 64,8.0,0.0,9200,,,,
망우아트빌,51㎡,서울시 중랑구 망우동 184-6,서울시 중랑구 용마산로116길 44,12.0,0.0,9200.0,,,,
망우아트빌,73㎡,서울시 중랑구 망우동 184-6,서울시 중랑구 용마산로116길 44,12.0,0.0,9200.0,,,,
망우아트빌,81㎡,서울시 중랑구 망우동 184-6,서울시 중랑구 용마산로116길 44,12.0,0.0,9200.0,,,,
망우아트빌,87㎡,서울시 중랑구 망우동 184-6,서울시 중랑구 용마산로116길 44,12.0,0.0,,,,,
망우아트빌,91㎡,서울시 중랑구 망우동 184-6,서울시 중랑구 용마산로116길 44,12.0,0.0,,,,,
망우아트빌,96,서울시 중랑구 망우동 184-6,서울시 중랑구 용마산로116길 44,12.0,0.0,,"5억~5억 1,000",,,
모던하우스(도시형),37㎡,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,9200.0,,,,
모던하우스(도시형),42㎡,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,9200.0,,,,
모던하우스(도시형),50㎡,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,9200.0,,,,
모던하우스(도시형),57A㎡,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,,,,,
모던하우스(도시형),57B㎡,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,,,,,
모던하우스(도시형),61A㎡,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,,,,,
모던하우스(도시형),61B,서울시 중랑구 망우동 459-33,서울시 중랑구 용마산로105길 30,10.0,0.0,,,,,
문수(주상복합),42㎡,서울시 중랑구 망우동 490-30,서울시 중랑구 용마산로115길 72,19.0,0.0,9200.0,,,,
문수(주상복합),98,서울시 중랑구 망우동 490-30,서울시 중랑구 용마산로115길 72,19.0,0.0,9200.0,,,,
문수해오름,76㎡,서울시 중랑구 망우동 508-14,서울시 중랑구 망우로58길 33-6,68.0,0.0,9200.0,"5억 3,000~5억 7,000",,,
문수해오름,107,서울시 중랑구 망우동 508-14,서울시 중랑구 망우로58길 33-6,68.0,0.0,9200.0,"6억 9,000",,,
보경(주상복합),20㎡,서울시 중랑구 망우동 490-19,서울시 중랑구 망우로 394,17.0,0.0,9200.0,,,,
보경(주상복합),52㎡,서울시 중랑구 망우동 490-19,서울시 중랑구 망우로 394,17.0,0.0,9200.0,,,,
보경(주상복합),54㎡,서울시 중랑구 망우동 490-19,서울시 중랑구 망우로 394,17.0,0.0,9200.0,,,,
보경(주상복합),78㎡,서울시 중랑구 망우동 490-19,서울시 중랑구 망우로 394,17.0,0.0,,,,,
보경(주상복합),83,서울시 중랑구 망우동 490-19,서울시 중랑구 망우로 394,17.0,0.0,,,,,
산솔트윈,61㎡,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,9200.0,,,,
산솔트윈,72㎡,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,9200.0,,,,
산솔트윈,84㎡,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,9200.0,,,,
산솔트윈,96B㎡,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,,,,,
산솔트윈,96A㎡,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,,,,,
산솔트윈,116㎡,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,,,,,
산솔트윈,176,서울시 중랑구 망우동 461-12,서울시 중랑구 봉우재로 229,19.0,0.0,,,,,
"삼부(민간임대,주상복합)",88A㎡,서울시 중랑구 망우동 564-5,서울시 중랑구 상봉로 134,60.0,60.0,9200.0,,5억,2억/100~3억/70,2억/100~3억/70
"삼부(민간임대,주상복합)",89B㎡,서울시 중랑구 망우동 564-5,서울시 중랑구 상봉로 134,60.0,60.0,9200.0,,5억,2억/100~3억/70,2억/100~3억/70
"삼부(민간임대,주상복합)",265,서울시 중랑구 망우동 564-5,서울시 중랑구 상봉로 134,60.0,60.0,9200.0,,,,
성도아트빌,62A㎡,서울시 중랑구 망우동 202-16,서울시 중랑구 용마산로116길 43,14.0,0.0,9200.0,,,,
성도아트빌,62B㎡,서울시 중랑구 망우동 202-16,서울시 중랑구 용마산로116길 43,14.0,0.0,9200.0,,,,
성도아트빌,75㎡,서울시 중랑구 망우동 202-16,서울시 중랑구 용마산로116길 43,14.0,0.0,9200.0,,,,
성도아트빌,87㎡,서울시 중랑구 망우동 202-16,서울시 중랑구 용마산로116길 43,14.0,0.0,,,,,
성도아트빌,95,서울시 중랑구 망우동 202-16,서울시 중랑구 용마산로116길 43,14.0,0.0,,,,,
성원빌리지(도시형),36㎡,서울시 중랑구 망우동 494-8,서울시 중랑구 봉우재로71길 80,23.0,0.0,9200.0,,,,
성원빌리지(도시형),37㎡,서울시 중랑구 망우동 494-8,서울시 중랑구 봉우재로71길 80,23.0,0.0,9200.0,,,,
